behavior,start_time,end_time,duration_seconds,frame_start,frame_end
handraise,2025-08-09 04:37:14.475888,2025-08-09 04:37:15.308162,0.832274,61,61
handraise,2025-08-09 04:37:16.062698,2025-08-09 04:37:16.725982,0.663284,83,83
phone_usage,2025-08-09 04:37:22.191163,2025-08-09 04:37:22.351160,0.159997,162,162
handraise,2025-08-09 04:37:23.219108,2025-08-09 04:37:23.298620,0.079512,174,174
phone_usage,2025-08-09 04:37:23.380648,2025-08-09 04:37:23.775831,0.395183,180,180
phone_usage,2025-08-09 04:37:24.169398,2025-08-09 04:37:24.247902,0.078504,186,186
handraise,2025-08-09 04:37:25.116870,2025-08-09 04:37:25.516960,0.40009,202,202
phone_usage,2025-08-09 04:37:28.249385,2025-08-09 04:37:28.329388,0.080003,238,238
phone_usage,2025-08-09 04:37:28.645650,2025-08-09 04:37:28.961599,0.315949,246,246
phone_usage,2025-08-09 04:37:29.669956,2025-08-09 04:37:30.207792,0.537836,262,262
phone_usage,2025-08-09 04:37:30.839326,2025-08-09 04:37:30.916833,0.077507,271,271
phone_usage,2025-08-09 04:37:30.994343,2025-08-09 04:37:31.309535,0.315192,276,276
phone_usage,2025-08-09 04:37:31.386046,2025-08-09 04:37:31.538569,0.152523,279,279
phone_usage,2025-08-09 04:37:31.618868,2025-08-09 04:37:31.772406,0.153538,282,282
phone_usage,2025-08-09 04:37:32.317766,2025-08-09 04:37:32.395327,0.077561,290,290
phone_usage,2025-08-09 04:37:32.620398,2025-08-09 04:37:33.162029,0.541631,300,300
phone_usage,2025-08-09 04:37:33.952815,2025-08-09 04:37:34.030857,0.078042,311,311
phone_usage,2025-08-09 04:37:34.270944,2025-08-09 04:37:34.345451,0.074507,315,315
phone_usage,2025-08-09 04:37:39.081076,2025-08-09 04:37:39.156591,0.075515,376,376
phone_usage,2025-08-09 04:37:39.393919,2025-08-09 04:37:39.474444,0.080525,380,380
handraise,2025-08-09 04:37:39.788178,2025-08-09 04:37:39.868691,0.080513,385,385
phone_usage,2025-08-09 04:37:39.630112,2025-08-09 04:37:40.578473,0.948361,394,394
phone_usage,2025-08-09 04:37:40.734363,2025-08-09 04:37:41.051924,0.317561,400,400
phone_usage,2025-08-09 04:37:41.124990,2025-08-09 04:37:41.521355,0.396365,406,406
handraise,2025-08-09 04:37:42.314702,2025-08-09 04:37:43.016258,0.701556,425,425
studying,2025-08-09 04:37:46.477627,2025-08-09 04:37:46.551623,0.073996,470,470
studying,2025-08-09 04:37:46.628815,2025-08-09 04:37:46.710325,0.08151,472,472
studying,2025-08-09 04:37:47.717389,2025-08-09 04:37:47.874119,0.15673,487,487
phone_usage,2025-08-09 04:37:48.030145,2025-08-09 04:37:48.105173,0.075028,490,490
studying,2025-08-09 04:37:48.030145,2025-08-09 04:37:48.418467,0.388322,494,494
studying,2025-08-09 04:37:48.574013,2025-08-09 04:37:49.441631,0.867618,507,507
studying,2025-08-09 04:37:50.781892,2025-08-09 04:37:50.857400,0.075508,525,525
studying,2025-08-09 04:37:51.718352,2025-08-09 04:37:51.878900,0.160548,538,538
studying,2025-08-09 04:37:54.232892,2025-08-09 04:37:54.308840,0.075948,569,569
phone_usage,2025-08-09 04:38:00.046003,2025-08-09 04:38:00.203563,0.15756,644,644
