behavior,start_time,end_time,duration_seconds,frame_start,frame_end,note
handraise,2025-09-17 21:25:33.504112,2025-09-17 21:25:33.697978,0.193866,32,32,
studying,2025-09-17 21:25:31.643990,2025-09-17 21:25:33.762430,2.11844,33,33,
handraise,2025-09-17 21:25:41.026686,2025-09-17 21:25:41.390780,0.364094,141,141,
handraise,2025-09-17 21:25:42.034871,2025-09-17 21:25:42.827849,0.792978,161,161,
studying,2025-09-17 21:25:33.961100,2025-09-17 21:25:43.255607,9.294507,167,167,
studying,2025-09-17 21:25:48.159703,2025-09-17 21:25:48.580588,0.420885,238,238,
studying,2025-09-17 21:25:48.721235,2025-09-17 21:25:48.937559,0.216324,243,243,
handraise,2025-09-17 21:25:43.255607,2025-09-17 21:25:49.953279,6.697672,257,257,
studying,2025-09-17 21:25:49.286955,2025-09-17 21:25:52.606367,3.319412,293,293,
studying,2025-09-17 21:25:52.682995,2025-09-17 21:25:55.546567,2.863572,333,333,
studying,2025-09-17 21:25:55.616186,2025-09-17 21:25:56.883127,1.266941,351,351,
studying,2025-09-17 21:25:57.031651,2025-09-17 21:25:57.307647,0.275996,357,357,
studying,2025-09-17 21:25:57.524749,2025-09-17 21:25:57.597502,0.072753,361,361,
studying,2025-09-17 21:25:57.881230,2025-09-17 21:25:58.100652,0.219422,368,368,
handraise,2025-09-17 21:25:53.992178,2025-09-17 21:25:58.415717,4.423539,372,372,
studying,2025-09-17 21:25:58.630001,2025-09-17 21:25:59.142014,0.512013,382,382,
studying,2025-09-17 21:25:59.297054,2025-09-17 21:26:02.424787,3.127733,426,426,
handraise,2025-09-17 21:25:58.489206,2025-09-17 21:26:02.424787,3.935581,426,426,
studying,2025-09-17 21:26:02.495734,2025-09-17 21:26:03.403660,0.907926,439,439,
handraise,2025-09-17 21:26:02.567829,2025-09-17 21:26:05.922530,3.354701,474,474,
handraise,2025-09-17 21:26:06.204850,2025-09-17 21:26:06.791161,0.586311,486,486,
handraise,2025-09-17 21:26:06.935652,2025-09-17 21:26:07.296827,0.361175,493,493,
studying,2025-09-17 21:26:05.498599,2025-09-17 21:26:25.136739,19.63814,737,737,
studying,2025-09-17 21:26:25.208772,2025-09-17 21:26:25.412688,0.203916,741,741,
studying,2025-09-17 21:26:26.966655,2025-09-17 21:26:27.432706,0.466051,768,768,
studying,2025-09-17 21:26:27.586658,2025-09-17 21:26:27.790257,0.203599,773,773,
studying,2025-09-17 21:26:27.855844,2025-09-17 21:26:27.924875,0.069031,775,775,
handraise,2025-09-17 21:26:27.855844,2025-09-17 21:26:33.872974,6.01713,855,855,
studying,2025-09-17 21:26:28.262515,2025-09-17 21:26:40.939149,12.676634,968,968,Session closed at end of processing
