behavior,start_time,end_time,duration_seconds,frame_start,frame_end
cheating,2025-09-17 23:21:23.436517,2025-09-17 23:21:23.577606,0.141089,24,24
cheating,2025-09-17 23:21:24.956040,2025-09-17 23:21:25.025377,0.069337,45,45
cheating,2025-09-17 23:21:34.435943,2025-09-17 23:21:34.726746,0.290803,177,177
cheating,2025-09-17 23:21:34.936760,2025-09-17 23:21:35.078569,0.141809,182,182
cheating,2025-09-17 23:21:35.149843,2025-09-17 23:21:36.202345,1.052502,197,197
cheating,2025-09-17 23:21:36.431486,2025-09-17 23:21:36.649400,0.217914,203,203
cheating,2025-09-17 23:21:36.955029,2025-09-17 23:21:37.035024,0.079995,208,208
cheating,2025-09-17 23:21:37.568846,2025-09-17 23:21:37.645638,0.076792,216,216
cheating,2025-09-17 23:21:38.153450,2025-09-17 23:21:38.316726,0.163276,225,225
cheating,2025-09-17 23:21:38.397116,2025-09-17 23:21:42.612066,4.21495,283,283
cheating,2025-09-17 23:21:44.111392,2025-09-17 23:21:46.540991,2.429599,335,335
cheating,2025-09-17 23:21:46.613151,2025-09-17 23:21:48.997516,2.384365,368,368
cheating,2025-09-17 23:21:49.205464,2025-09-17 23:21:49.354947,0.149483,373,373
cheating,2025-09-17 23:21:51.350394,2025-09-17 23:21:52.064159,0.713765,408,408
cheating,2025-09-17 23:21:52.426943,2025-09-17 23:21:53.102655,0.675712,423,423
cheating,2025-09-17 23:21:53.236924,2025-09-17 23:21:53.927988,0.691064,435,435
cheating,2025-09-17 23:21:54.068558,2025-09-17 23:21:54.215369,0.146811,439,439
cheating,2025-09-17 23:21:56.272542,2025-09-17 23:21:56.809873,0.537331,473,473
cheating,2025-09-17 23:21:56.885627,2025-09-17 23:21:58.273877,1.38825,493,493
cheating,2025-09-17 23:21:59.128813,2025-09-17 23:21:59.357549,0.228736,507,507
cheating,2025-09-17 23:22:00.565139,2025-09-17 23:22:00.640914,0.075775,524,524
cheating,2025-09-17 23:22:00.924229,2025-09-17 23:22:00.996847,0.072618,529,529
cheating,2025-09-17 23:22:01.832288,2025-09-17 23:22:06.488407,4.656119,601,601
cheating,2025-09-17 23:22:06.650395,2025-09-17 23:22:06.866799,0.216404,606,606
cheating,2025-09-17 23:22:07.654034,2025-09-17 23:22:07.796661,0.142627,619,619
cheating,2025-09-17 23:22:08.010766,2025-09-17 23:22:14.399475,6.388709,708,708
cheating,2025-09-17 23:22:14.687106,2025-09-17 23:22:21.675596,6.98849,806,806
cheating,2025-09-17 23:22:21.887526,2025-09-17 23:22:22.103985,0.216459,812,812
cheating,2025-09-17 23:22:22.507792,2025-09-17 23:22:23.516762,1.00897,830,830
cheating,2025-09-17 23:22:23.815064,2025-09-17 23:22:23.891788,0.076724,835,835
cheating,2025-09-17 23:22:24.042439,2025-09-17 23:22:24.114747,0.072308,838,838
cheating,2025-09-17 23:22:24.266193,2025-09-17 23:22:24.342447,0.076254,841,841
cheating,2025-09-17 23:22:24.419894,2025-09-17 23:22:24.494069,0.074175,843,843
cheating,2025-09-17 23:22:24.948345,2025-09-17 23:22:25.021719,0.073374,850,850
not_cheating,2025-09-17 23:22:25.385640,2025-09-17 23:22:25.458773,0.073133,856,856
cheating,2025-09-17 23:22:25.385640,2025-09-17 23:22:25.529679,0.144039,857,857
cheating,2025-09-17 23:22:25.602638,2025-09-17 23:22:25.675935,0.073297,859,859
cheating,2025-09-17 23:22:25.747750,2025-09-17 23:22:25.896631,0.148881,862,862
cheating,2025-09-17 23:22:30.201236,2025-09-17 23:22:30.420996,0.21976,919,919
cheating,2025-09-17 23:22:30.913021,2025-09-17 23:22:32.123129,1.210108,943,943
not_cheating,2025-09-17 23:22:32.498045,2025-09-17 23:22:32.573713,0.075668,949,949
cheating,2025-09-17 23:22:32.353366,2025-09-17 23:22:32.720397,0.367031,951,951
not_cheating,2025-09-17 23:22:32.646790,2025-09-17 23:22:33.036891,0.390101,955,955
not_cheating,2025-09-17 23:22:33.257045,2025-09-17 23:22:33.480396,0.223351,961,961
not_cheating,2025-09-17 23:22:33.917814,2025-09-17 23:22:34.161147,0.243333,970,970
cheating,2025-09-17 23:22:34.161147,2025-09-17 23:22:34.401505,0.240358,973,973
cheating,2025-09-17 23:22:34.485021,2025-09-17 23:22:34.570035,0.085014,975,975
cheating,2025-09-17 23:22:36.599140,2025-09-17 23:22:36.676631,0.077491,1000,1000
not_cheating,2025-09-17 23:22:39.682322,2025-09-17 23:22:41.390430,1.708108,1057,1057
not_cheating,2025-09-17 23:22:41.555838,2025-09-17 23:22:42.921555,1.365717,1075,1075
cheating,2025-09-17 23:22:43.583469,2025-09-17 23:22:44.393644,0.810175,1093,1093
not_cheating,2025-09-17 23:22:48.249708,2025-09-17 23:22:48.335843,0.086135,1137,1137
not_cheating,2025-09-17 23:22:48.750298,2025-09-17 23:22:49.489467,0.739169,1151,1151
cheating,2025-09-17 23:22:49.904148,2025-09-17 23:22:51.081020,1.176872,1170,1170
not_cheating,2025-09-17 23:22:52.439819,2025-09-17 23:22:52.801845,0.362026,1190,1190
not_cheating,2025-09-17 23:22:52.887665,2025-09-17 23:22:53.323889,0.436224,1196,1196
